Size,Type,InstanceID,Repetition,Algorithm,Threads,TimeMS
25,strongly_correlated,0,0,SequentialOptimized,1,0.2524
25,strongly_correlated,0,0,Parallel,4,0.3311
25,strongly_correlated,0,0,Parallel,6,0.6243
25,strongly_correlated,0,0,Parallel,12,0.9415
25,strongly_correlated,1,0,SequentialOptimized,1,0.4378
25,strongly_correlated,1,0,Parallel,4,0.7291
25,strongly_correlated,1,0,Parallel,6,0.5426
25,strongly_correlated,1,0,Parallel,12,0.9458
25,strongly_correlated,2,0,SequentialOptimized,1,1.9187
25,strongly_correlated,2,0,Parallel,4,1.2499
25,strongly_correlated,2,0,Parallel,6,1.0118
25,strongly_correlated,2,0,Parallel,12,1.7388
25,strongly_correlated,3,0,SequentialOptimized,1,0.0428
25,strongly_correlated,3,0,Parallel,4,0.4857
25,strongly_correlated,3,0,Parallel,6,0.2986
25,strongly_correlated,3,0,Parallel,12,0.6272
25,strongly_correlated,4,0,SequentialOptimized,1,0.1405
25,strongly_correlated,4,0,Parallel,4,0.6929
25,strongly_correlated,4,0,Parallel,6,3.0677
25,strongly_correlated,4,0,Parallel,12,1.2333
25,strongly_correlated,5,0,SequentialOptimized,1,2.0659
25,strongly_correlated,5,0,Parallel,4,1.3412
25,strongly_correlated,5,0,Parallel,6,1.0368
25,strongly_correlated,5,0,Parallel,12,1.6999
25,strongly_correlated,6,0,SequentialOptimized,1,0.0846
25,strongly_correlated,6,0,Parallel,4,0.8155
25,strongly_correlated,6,0,Parallel,6,0.3179
25,strongly_correlated,6,0,Parallel,12,0.5858
25,strongly_correlated,7,0,SequentialOptimized,1,0.1045
25,strongly_correlated,7,0,Parallel,4,0.4773
25,strongly_correlated,7,0,Parallel,6,0.3391
25,strongly_correlated,7,0,Parallel,12,0.6286
25,strongly_correlated,8,0,SequentialOptimized,1,1.4725
25,strongly_correlated,8,0,Parallel,4,1.1814
25,strongly_correlated,8,0,Parallel,6,1.0166
25,strongly_correlated,8,0,Parallel,12,1.6796
25,strongly_correlated,9,0,SequentialOptimized,1,0.1636
25,strongly_correlated,9,0,Parallel,4,0.8611
25,strongly_correlated,9,0,Parallel,6,3.3917
25,strongly_correlated,9,0,Parallel,12,5.7256
25,strongly_correlated,10,0,SequentialOptimized,1,0.1317
25,strongly_correlated,10,0,Parallel,4,0.525
25,strongly_correlated,10,0,Parallel,6,0.5437
25,strongly_correlated,10,0,Parallel,12,0.6111
25,strongly_correlated,11,0,SequentialOptimized,1,0.4811
25,strongly_correlated,11,0,Parallel,4,0.7711
25,strongly_correlated,11,0,Parallel,6,0.6141
25,strongly_correlated,11,0,Parallel,12,1.0204
25,strongly_correlated,12,0,SequentialOptimized,1,0.0301
25,strongly_correlated,12,0,Parallel,4,0.4594
25,strongly_correlated,12,0,Parallel,6,0.3288
25,strongly_correlated,12,0,Parallel,12,0.6717
25,strongly_correlated,13,0,SequentialOptimized,1,0.2166
25,strongly_correlated,13,0,Parallel,4,0.6733
25,strongly_correlated,13,0,Parallel,6,0.7041
25,strongly_correlated,13,0,Parallel,12,1.0451
25,strongly_correlated,14,0,SequentialOptimized,1,0.6581
25,strongly_correlated,14,0,Parallel,4,1.2879
25,strongly_correlated,14,0,Parallel,6,1.5118
